"DatasetID","ReviewerID","SourceID","Category","AudioFile","Status","SavedAt","VariantID","ModelName","PromptName","IsBaseline","BlindLabel","Rank"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-005","动作表演","/audio/ACT-005_simple_15s.wav","ranked","2026-09-14T09:35:55.289Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-005","动作表演","/audio/ACT-005_simple_15s.wav","ranked","2026-09-14T09:35:55.289Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","ACT-005","动作表演","/audio/ACT-005_simple_15s.wav","ranked","2026-09-14T09:35:55.289Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","B","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-004","情绪表演类","/audio/EMO-004_simple_15s.wav","ranked","2026-09-14T09:38:21.554Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-004","情绪表演类","/audio/EMO-004_simple_15s.wav","ranked","2026-09-14T09:38:21.554Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","A","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","EMO-004","情绪表演类","/audio/EMO-004_simple_15s.wav","ranked","2026-09-14T09:38:21.554Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-005","音乐","/audio/MUS-005_simple_15s.wav","ranked","2026-09-14T09:39:25.953Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","A","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-005","音乐","/audio/MUS-005_simple_15s.wav","ranked","2026-09-14T09:39:25.953Z","variant-f2e5c10aa4f7a470","Qwen3.5-Omni-Plus","Wynn结构化","false","B","2"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","MUS-005","音乐","/audio/MUS-005_simple_15s.wav","ranked","2026-09-14T09:39:25.953Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","3"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-002","音效","/audio/SFX-002_simple_15s.wav","ranked","2026-09-14T09:41:37.078Z","variant-f04634f25f2b8b72","Gemini 3.8 Flash","Wynn结构化","false","C","1"
"audio-eval-30-9f7982fbfae67788","f89f7100-479f-4f1e-a763-62bf2e4611c6","SFX-002","音效","/audio/SFX-002_simple_15s.wav","ranked","2026-09-14T09:41:37.078Z","variant-a5e8f88ecc732ea4","Gemini 3.1 Pro","Wynn结构化","false","B","2"
